id,sex,age,unknown,zip
291,1,35,12,55110
292,1,35,7,19406
293,1,56,1,553374056
294,0,45,9,43147
295,1,18,0,80203
296,1,50,5,89432
297,1,18,2,97211
298,0,18,4,19010
299,1,25,12,97370
300,1,25,7,78664
301,1,18,4,61820
302,1,18,4,4901
303,1,25,7,20006
304,1,25,0,55414
305,0,18,0,55414
306,1,18,0,53051
307,1,50,16,90027
308,1,25,2,10025
309,1,25,4,16801
310,0,18,4,31207
311,1,18,4,31201
312,0,50,2,22207
313,0,18,4,2138
314,0,56,9,46911
315,0,56,1,55105
316,1,56,13,90740
317,1,35,7,38555
318,0,56,13,55104
319,0,50,6,33436
320,1,35,6,99516
321,1,18,4,55128
322,1,56,17,55117
323,1,45,12,53716
324,1,35,17,55106
325,0,50,3,55112
326,1,50,11,25302
327,1,35,18,55448
328,1,35,12,80401
329,1,35,7,2115
330,1,56,7,92065
331,1,25,7,55902
332,1,50,1,55109
333,1,35,2,55410
334,0,56,2,55113
335,1,35,18,55434
336,1,18,0,98765
337,1,18,19,80205
338,1,35,7,55116
339,1,50,7,80207
340,0,25,3,28001
341,0,56,13,92119
342,1,18,12,55076
343,0,35,3,55127
344,1,35,14,75034
345,1,25,12,94114
346,0,25,0,55110
347,0,56,1,55305
348,1,50,7,55110
349,1,1,10,8035
350,1,45,20,8035
351,1,18,4,55105
352,1,18,4,60115
353,0,35,7,92625
354,1,35,1,55117
355,1,18,3,55107
356,1,56,20,55101
357,1,18,0,98103
358,0,56,1,20815
359,1,25,17,55128
360,1,35,17,28208
361,0,25,14,94115
362,1,35,20,55407
363,1,18,10,55419
364,0,35,1,46815
365,0,18,4,2138
366,1,50,15,55126
367,1,50,12,55421
368,1,25,0,90293
369,1,35,1,55110
370,1,18,17,22304
371,1,18,4,2141
372,0,18,4,72227
373,0,25,2,55347
374,0,35,14,55346
375,1,25,2,55106
376,1,35,1,80026
377,1,25,17,55418
378,0,18,0,55105
379,0,35,1,54822
380,1,25,2,92024
381,1,35,17,89015
382,0,35,20,66205
383,0,25,7,78757
384,1,25,11,55075
385,1,25,6,68131
386,1,25,0,55408
387,0,35,7,55111
388,0,25,0,10021
389,1,25,6,68128
390,1,25,4,55405
391,1,45,11,22122
392,1,18,7,20037
393,1,35,17,55402
394,1,18,0,55013
395,1,18,5,55104
396,1,25,1,56187
397,1,35,17,22124
398,1,25,17,55454
399,0,35,6,55128
400,0,18,3,55422
401,1,18,0,55129
402,1,25,11,55427
403,1,18,4,2138
404,1,18,4,10128
405,1,56,1,13077
406,1,25,20,55105
407,1,18,17,89503
408,1,25,11,2143
409,1,18,12,55122
410,0,25,1,55417
411,0,45,1,43214
412,1,35,15,55117
413,1,25,11,55409
414,1,25,0,55317
415,0,35,0,55406
416,1,45,14,55076
417,0,25,0,50613
418,0,25,3,54016
419,1,18,3,55422
420,1,35,1,55406
421,0,45,3,55125
422,1,56,17,55104
423,1,18,4,55455
424,1,25,17,55112
425,1,25,12,55303
426,1,18,4,55455
427,1,35,12,55104
428,0,18,4,55455
429,1,18,0,54901
430,0,18,10,55306
431,1,18,10,55303
432,1,45,16,55306
433,1,50,6,55115
434,0,45,3,98155
435,1,25,7,55125
436,1,18,4,43023
437,1,35,17,55030
438,1,18,11,53705
439,1,35,14,55129
440,1,56,1,32940
441,1,35,1,55127
442,1,25,1,55105
443,1,25,3,55421
444,1,56,0,55108
445,1,45,12,55117
446,0,50,0,55042
447,0,45,11,55105
448,1,25,17,80123
449,1,25,7,85037
450,1,45,1,24523
451,1,56,13,54720
452,1,50,17,55117
453,1,18,4,55102
454,1,25,20,55092
455,0,35,2,55113
456,1,35,0,55105
457,1,18,4,54703
458,1,50,16,554052546
459,0,18,4,55105
460,1,45,18,55313
461,1,50,7,55075
462,1,18,16,55416
463,1,25,7,55105
464,0,18,4,55455
465,1,18,19,94523
466,1,25,5,55405
467,0,35,3,55075
468,0,1,10,55082
469,1,35,6,55122
470,0,1,10,55068
471,1,35,7,8904
472,1,35,0,55418
473,0,18,4,55112
474,1,25,17,92126
475,0,25,2,55421
476,1,35,0,55127
477,1,35,14,55410
478,1,50,16,55113
479,1,25,12,55042
480,0,18,4,55422
481,1,45,7,55115
482,1,25,14,55305
483,1,18,12,55105
484,0,1,10,55104
485,1,56,7,55042
486,1,56,0,91367
487,0,35,17,55082
488,1,25,12,55107
489,1,18,4,55455
490,1,1,10,55345
491,1,18,4,56043
492,1,25,12,55112
493,1,50,7,55016
494,0,35,0,17870
495,1,18,10,55421
496,1,18,4,55455
497,0,25,17,55412
498,1,35,17,55113
499,0,25,1,55108
500,0,18,2,55105
501,1,25,2,55372
502,1,35,6,55126
503,1,35,11,73120
504,1,25,2,17003
505,1,35,17,37815
506,1,25,16,551031006
507,0,25,0,55405
508,1,25,12,55418
509,1,25,2,55125
510,1,18,12,55109
511,0,45,4,15232
512,1,35,0,55379
513,1,25,0,55119
514,1,25,2,55113
515,1,25,1,55406
516,0,56,14,55033
517,0,25,14,55408
518,0,35,12,75240
519,0,35,14,55038
520,0,35,20,55104
521,1,56,7,55105
522,1,25,12,55124
523,1,50,7,55105
524,1,18,0,91320
525,1,35,6,19027
526,1,45,17,94806
527,0,25,2,11201
528,0,18,17,83843
529,1,35,12,92009
530,1,25,2,10019
531,0,18,14,22206
532,1,25,7,94301
533,1,25,12,27514
534,1,25,15,55902
535,1,35,6,95370
536,1,25,20,1267
537,1,45,14,7704
538,1,56,16,95407
539,1,25,2,55103
540,1,18,1,15213
541,0,18,4,5849574
542,1,18,4,78705
543,1,25,5,55057
544,1,35,12,94538
545,1,35,17,1890
546,0,25,0,37211
547,1,35,12,76109
548,0,35,16,96860
549,1,25,6,53217
550,1,45,8,21559
551,1,35,20,55116
552,1,50,18,23456
553,1,25,2,94131
554,1,25,12,94086
555,1,18,4,53213
556,0,25,9,37221
557,1,56,1,30030
558,1,35,20,55108
559,0,25,7,60422
560,1,45,15,81335
561,0,18,14,64060
562,1,35,20,48083
563,1,25,4,53703
564,1,45,1,49419
565,1,25,16,45242
566,1,25,17,92122
567,1,35,20,525709634
568,0,50,17,19716
569,0,18,4,97339
570,1,25,4,33314
571,1,50,5,95401
572,1,18,4,61801
573,0,35,2,98119
574,1,25,19,90214
575,1,25,12,92130
576,0,45,15,20910
577,1,35,0,2115
578,1,18,17,90064
579,1,25,5,32839
580,1,1,10,8534
581,1,50,14,73543
582,1,18,4,67042
583,0,25,0,48067
584,0,25,0,94403
585,1,18,1,53703
586,1,35,14,53092
587,1,25,20,92649
588,0,25,11,23220
589,1,18,2,90210
590,0,35,6,98032
591,1,25,0,76201
592,1,18,0,92103
593,0,50,1,91711
594,0,56,13,60076
595,1,25,7,10019
596,0,25,1,1950
597,1,35,12,80206
598,1,35,7,95476
599,1,50,6,53711
600,1,35,17,66209
601,0,18,20,6320
602,0,56,6,14612
603,0,25,6,32256
604,1,45,17,32256
605,0,18,4,44425
606,0,1,10,49507
607,1,25,0,43614
608,1,18,4,18011
609,1,25,7,10012
610,1,25,4,77025
611,1,35,0,20715
612,1,50,7,95020
613,1,35,20,10562
614,1,35,1,90024
615,1,50,17,32951
616,1,25,7,94115
617,0,25,7,92117
618,1,25,0,74105
619,0,18,1,94706
620,1,18,0,13210
621,1,18,4,93560
622,1,25,0,92612
623,1,25,17,60555
624,1,25,1,75207
625,0,35,12,44106
626,1,18,4,77005
627,1,50,2,97210
628,0,35,0,20715
629,0,1,10,48154
630,0,35,14,80525
631,1,35,17,28601
632,1,45,17,7649
633,1,25,17,94131
634,0,1,10,49512
635,1,56,17,33785
636,1,18,20,92055
637,1,35,12,97132
638,1,25,6,77584
639,1,45,17,85202
640,1,18,4,47406
641,0,35,0,55116
642,0,35,1,78155
643,1,25,2,23188
644,1,25,20,93704
645,1,35,20,11215
646,1,35,7,8505
647,1,35,12,85224
648,0,25,12,94131
649,1,25,4,80526
650,1,25,17,49445
651,1,35,7,20895
652,1,18,20,12222
653,1,56,13,92660
654,1,50,7,75023
655,0,25,2,92629
656,0,45,16,92106
657,0,50,13,34691
658,0,25,0,10021
659,0,25,0,28134
660,1,45,16,70507
661,1,45,1,13114
662,1,18,4,99163
663,0,25,7,12345
664,1,35,18,74601
665,1,18,2,13317
666,0,18,0,8540
667,1,25,18,98438
668,0,25,3,22042
669,1,25,17,30307
670,1,25,12,30303
671,1,18,4,61761
672,1,35,7,46845
673,1,25,20,10023
674,1,25,17,22042
675,1,25,20,2048
676,1,18,16,55129
677,1,50,2,94122
678,1,25,0,34952
679,1,35,16,29681
680,1,25,12,37013
681,1,35,7,30501
682,1,25,4,27510
683,1,25,4,27514
684,1,25,4,27510
685,1,25,4,27514
686,1,18,4,27514
687,0,25,7,14136
688,1,56,13,13407
689,0,50,0,48103
690,1,25,12,90717
691,1,35,11,96813
692,0,25,0,85207
693,1,35,12,98103
694,1,18,4,76401
695,0,18,1,4240
696,1,25,12,94114
697,0,50,6,97330
698,1,18,4,76401
699,1,18,0,73505
700,1,50,17,14650
701,0,18,4,1002
702,1,35,7,90808
703,0,56,1,44074
704,0,35,8,85712
705,1,25,4,48065
706,1,35,20,78664
707,1,35,7,17740
708,1,25,0,37042
709,1,18,0,92647
710,1,25,20,85207
711,1,25,18,80521
712,1,25,0,95136
713,1,35,7,79912
714,1,18,4,76013
715,1,18,0,53715
716,1,18,4,98188
717,1,25,11,90211
718,1,18,2,90211
719,1,1,0,75070
720,1,18,0,55129
721,0,35,9,97520
722,1,25,12,55106
723,1,25,12,98027
724,1,50,13,90266
725,1,56,11,8904
726,0,25,9,77449
727,1,35,11,94061
728,1,25,6,11598
729,1,35,12,85284
730,1,25,0,10580
731,1,45,3,55410
732,1,25,7,7030
733,1,35,16,30034
734,1,25,7,90078
735,1,25,14,4240
736,1,18,12,7070
737,1,1,19,53711
738,1,18,17,99205
739,1,35,12,55803
740,1,25,14,24551
741,1,25,5,44095
742,1,18,0,54758
743,0,1,2,60660
744,1,25,17,77007
745,1,1,10,90004
746,0,18,19,95019
747,1,18,4,98606
748,1,25,0,60098
749,1,35,18,56303
750,0,35,9,13066
751,0,25,17,97201
752,0,25,3,97401
753,1,1,10,42754
754,1,35,7,38024
755,0,35,0,94002
756,1,35,0,90064
757,1,25,12,97401
758,1,35,7,19518
759,0,56,3,89156
760,1,56,15,94114
761,1,18,7,99945
762,1,1,10,63041
763,1,18,10,2882
764,1,18,20,85296
765,1,25,17,74467
766,0,25,7,95128
767,1,25,12,45241
768,1,25,12,17067
769,1,45,17,2421
770,1,18,4,98499
771,0,50,1,75087
772,1,18,12,89118
773,1,25,6,48108
774,1,18,4,22903
775,1,1,17,56258
776,0,25,3,92627
777,1,18,19,87543
778,1,18,17,32694
779,1,25,0,60156
780,1,25,17,91776
781,1,18,4,95076
782,1,56,1,28223
783,1,25,4,53703
784,1,18,0,11040
785,1,18,19,29307
786,1,25,0,55987
787,1,18,4,77802
788,1,25,0,37601
789,1,18,1,67212
790,1,25,17,45694
791,1,35,7,27511
792,1,25,17,1002
793,0,35,14,37043
794,1,50,20,10543
795,0,35,14,19147
796,1,50,6,98237
797,0,50,7,20175
798,0,25,20,48464
799,0,25,5,98498
800,0,35,12,72032
801,0,25,20,95776
802,1,25,16,22801
803,1,18,4,67217
804,1,25,20,90032
805,1,35,12,37211
806,1,35,0,34990
807,1,18,4,89015
808,1,25,7,85226
809,1,25,17,70508
810,1,25,12,98006
811,1,50,0,94043
812,1,25,6,37930
813,1,18,4,70002
814,0,18,4,92612
815,1,25,4,37130
816,1,45,0,92108
817,1,18,4,41076
818,1,18,4,60107
819,1,35,7,60611
820,1,35,7,78759
821,1,18,2,14456
822,0,25,1,7666
823,1,25,0,92078
824,1,35,12,94530
825,1,56,1,39532
826,0,35,1,80210
827,1,45,2,55409
828,1,18,4,70817
829,1,1,19,53711
830,1,35,7,60657
831,0,45,0,20874
832,1,18,2,19464
833,1,35,7,46825
834,0,35,12,78640
835,1,56,0,94952
836,1,25,11,10023
837,1,56,7,8540
838,1,50,17,92661
839,1,25,0,98103
840,0,25,3,2828
841,0,50,14,92119
842,0,18,0,55102
843,1,25,7,49321
844,1,25,0,92121
845,0,18,0,20009
846,1,25,5,80209
847,0,25,7,80228
848,1,25,15,94121
849,1,25,3,75006
850,1,35,0,60640
851,1,18,4,75287
852,1,25,5,92105
853,1,25,17,55447
854,0,25,16,44092
855,0,18,2,72701
856,0,45,6,2453
857,1,35,17,11701
858,1,35,14,10013
859,1,25,12,10128
860,1,18,0,78237
861,1,25,7,37027
862,1,35,7,10019
863,1,25,7,62522
864,0,25,0,97205
865,1,35,1,91711
866,1,1,10,8820
867,1,45,12,95814
868,1,50,17,17027224
869,1,18,20,92026
870,0,25,1,2144
871,1,1,10,76013
872,1,50,1,20815
873,1,56,6,19027
874,1,45,15,26105
875,1,1,10,94707
876,1,25,4,43202
877,1,25,0,90631
878,1,18,2,1720
879,1,45,16,92018
880,1,35,17,94114
881,1,18,14,76401
882,1,18,2,1720
883,0,35,14,92673
884,1,1,10,49454
885,1,35,0,48105
886,0,56,0,14830
887,0,56,16,55345
888,0,1,10,8820
889,1,45,20,10024
890,1,18,4,92153
891,1,25,1,80202
892,1,35,0,76031
893,0,50,6,85016
894,1,18,4,31602
895,1,50,1,34683
896,1,18,15,94015
897,1,25,6,92130
898,1,25,7,77005
899,0,25,1,30605
900,0,56,13,90066
901,0,56,0,92027
902,1,56,0,45432
903,1,56,13,75165
904,1,35,20,92308
905,0,45,12,28655
906,1,1,10,71106
907,0,45,6,92117
908,0,50,1,92103
909,1,45,7,92831
910,0,50,0,98226
911,1,50,0,98226
912,0,35,2,91324
913,1,25,0,207446223
914,0,35,9,30338
915,1,25,7,72762
916,0,25,1,92084
917,1,50,6,92117
918,0,45,1,91901
919,0,35,1,92056
920,1,18,4,92173
921,1,25,17,92084
922,1,56,16,48009
923,1,25,7,37212
924,1,50,17,98642
925,0,35,3,48073
926,1,1,10,7869
927,0,25,20,91105
928,0,56,16,98199
929,1,25,15,53706
930,1,25,5,98380
931,0,56,1,6032
932,0,35,6,97838
933,1,45,1,49419
934,0,35,7,97401
935,1,35,14,60538
936,1,18,4,34567
937,1,25,15,60513
938,0,25,1,1060
939,0,25,20,201105616
940,1,1,10,76240
941,1,18,20,45387
942,0,50,6,85716
943,0,45,12,8033
944,1,35,0,91505
945,1,45,7,49345
946,1,35,7,481038929
947,1,18,0,21015
948,1,56,12,43056
949,1,50,17,96753
950,1,35,7,21044
951,1,45,2,10009
952,1,56,16,97478
953,1,50,20,97030
954,0,25,0,21030
955,0,50,7,94941
956,1,35,1,55104
957,1,35,1,29706
958,1,35,2,48116
959,1,50,11,44622
960,1,1,10,45244
961,1,18,10,10016
962,0,25,1,80020
963,1,25,0,48197
964,1,25,7,94123
965,1,56,7,10954
966,1,56,2,92262
967,0,18,0,43615
968,1,50,12,94530
969,0,25,11,19103
970,1,25,0,27615
971,1,25,12,43615
972,1,45,1,2138
973,0,25,1,80026
974,1,35,19,94930
975,1,35,0,98136
976,1,35,14,89113
977,1,25,2,80110
978,1,18,0,19116
979,1,1,10,48073
980,1,25,6,92014
981,1,25,20,2141
982,0,25,9,92064
983,0,25,16,99224
984,1,50,16,92129
985,1,25,4,32608
986,0,56,0,19004
987,0,35,17,48098
988,1,50,11,48823
989,1,50,0,20706
990,1,18,6,10004
991,0,25,9,48103
992,0,35,3,2780
993,1,25,0,45678
994,1,18,2,92109
995,0,18,4,96803
996,1,25,17,98102
997,1,1,19,15748
998,1,45,20,10019
999,1,25,15,62558
1000,0,25,6,90027
1001,1,25,4,90210
1002,1,50,11,7043
1003,1,25,2,19320
1004,1,25,3,95136
1005,1,35,11,8003
1006,1,18,4,53220
1007,1,50,12,1960
1008,1,35,3,77064
1009,1,50,7,48315
1010,1,25,0,10310
1011,1,25,8,92115
1012,0,35,1,30004
1013,1,56,13,2576
1014,0,45,17,3054
1015,1,35,3,11220
1016,1,56,16,60044
1017,1,35,0,30906
1018,1,18,4,95616
1019,1,35,1,60640
1020,1,18,20,93455
1021,1,35,0,94559
1022,1,25,3,918
1023,1,56,13,92675
1024,0,35,1,74135
1025,1,25,16,34677
1026,0,45,0,19130
1027,1,18,4,77005
1028,0,45,7,3848
1029,1,25,0,20015
1030,1,25,7,97303
1031,1,35,16,19803
1032,1,50,16,19425
1033,1,25,5,60076
1034,0,35,1,82601
1035,1,18,2,15956
1036,1,35,7,28036
1037,1,45,7,2081
1038,0,56,15,20194
1039,0,35,1,2346
1040,1,25,11,76309
1041,1,45,2,94306
1042,1,35,5,92801
1043,0,50,11,87004
1044,1,25,20,72701
1045,0,1,10,77477
1046,1,56,18,534041230
1047,1,18,0,62225
1048,1,35,6,75225
1049,1,45,14,95002
1050,1,25,1,97302
1051,0,25,0,60513
1052,0,35,2,75214
1053,1,35,0,18360
1054,1,1,10,75040
1055,1,35,0,91505
1056,1,1,0,48133
1057,1,45,17,73069
1058,1,25,1,97321
1059,0,25,0,97213
1060,1,18,10,11235
1061,1,45,0,46060
1062,1,50,19,59457
1063,1,35,7,50265
1064,1,25,7,91344
1065,0,25,0,94402
1066,1,45,12,2151
1067,1,35,12,94402
1068,0,18,4,77581
1069,1,25,20,98105
1070,0,45,2,20036
1071,1,50,16,13045
1072,0,35,7,7601
1073,0,25,6,72211
1074,1,45,17,48073
1075,0,25,6,60660
1076,0,25,3,27606
1077,1,25,3,60660
1078,0,45,9,95661
1079,1,25,7,98115
1080,1,56,7,8854
1081,1,18,4,681442410
1082,1,45,7,48170
1083,1,56,0,27705
1084,1,1,19,3226
1085,1,25,7,34695
1086,1,18,4,98225
1087,1,25,16,8826
1088,0,1,10,98103
1089,1,35,6,37853
1090,1,25,7,94105
1091,1,18,5,345567
1092,0,18,4,49525
1093,1,50,14,60504
1094,0,18,0,92626
1095,0,56,6,8753
1096,1,1,10,80439
1097,1,18,17,92109
1098,1,35,7,94945
1099,1,25,17,77059
1100,1,25,0,60090
1101,1,35,1,6417
1102,1,18,1,55408
1103,0,45,7,60605
1104,1,35,11,10023
1105,1,35,6,48105
1106,1,18,4,90241
1107,0,50,1,2324
1108,1,56,1,93003
1109,1,18,10,45904
1110,0,56,6,77005
1111,0,50,16,44319
1112,1,18,6,19104
1113,1,18,4,97215
1114,0,18,9,75801
1115,0,25,1,60551
1116,1,25,15,92121
1117,1,18,14,10017
1118,1,50,13,2718
1119,1,35,1,90504
1120,1,18,4,95616
1121,1,56,7,78701
1122,1,56,14,2632
1123,1,50,0,91789
1124,1,25,2,60156
1125,0,18,4,53715
1126,1,56,16,13031
1127,1,25,0,11788
1128,1,25,1,72701
1129,1,35,17,22309
1130,1,18,7,60012
1131,1,56,13,12570
1132,1,18,12,98225
1133,1,18,2,90038
1134,1,18,20,19114
1135,1,50,13,98201
1136,0,35,7,90274
1137,1,18,4,13165
1138,1,18,12,12047
1139,1,25,1,934202852
1140,0,45,2,73069
1141,0,25,3,84770
1142,1,18,1,43623
1143,1,50,7,94024
1144,1,25,7,94025
1145,1,50,3,92103
1146,0,18,16,80260
1147,1,25,20,98101
1148,1,35,17,92618
1149,1,25,12,98103
1150,0,25,20,75226
1151,1,25,15,46805
1152,1,18,4,30328
1153,1,18,10,33024
1154,0,1,10,53545
1155,1,25,12,90278
1156,0,50,2,33334
1157,1,45,7,30253
1158,0,35,1,98026
1159,1,18,0,48314
1160,1,18,14,7017
1161,1,25,0,10025
1162,0,35,0,97213
1163,1,1,10,70448
1164,0,25,19,90020
1165,1,25,12,45014
1166,1,56,6,94030
1167,0,50,1,55126
1168,0,25,0,94109
1169,1,25,20,94402
1170,1,56,3,10023
1171,1,45,12,94114
1172,0,25,0,61801
1173,0,25,7,10019
1174,0,18,16,91780
1175,0,25,2,90020
1176,1,56,1,44256
1177,0,25,17,1453
1178,1,56,0,48186
1179,1,50,1,91030
1180,0,50,20,95503
1181,1,35,7,20716
1182,1,1,10,91326
1183,1,35,19,94598
1184,0,25,4,92354
1185,0,35,1,97374
1186,1,18,19,98502
1187,0,1,0,90210
1188,1,45,7,72212
1189,1,25,0,85712
1190,1,45,0,98031
1191,0,35,0,98117
1192,1,50,16,98103
1193,1,25,12,90712
1194,0,25,1,95617
1195,0,1,10,13907
1196,0,18,14,22203
1197,1,35,1,44077
1198,1,1,10,49544
1199,1,50,13,77459
1200,1,1,0,97222
1201,1,18,4,841122004
1202,1,35,12,97006
1203,0,25,1,6417
1204,1,25,7,95076
1205,0,56,0,46814
1206,0,50,7,33764
1207,1,50,0,43617
1208,1,25,0,12590
1209,1,35,7,94127
1210,1,25,17,27519
1211,1,18,4,10027
1212,0,50,1,60089
1213,1,50,0,91505
1214,1,56,13,94558
1215,1,35,17,23602
1216,1,25,2,90292
1217,1,25,12,94118
1218,1,56,15,13207
1219,1,25,7,12206
1220,1,1,10,48073
1221,1,18,0,19134
1222,1,35,0,52162
1223,1,25,2,60102
1224,1,50,13,2125
1225,1,45,7,61081
1226,1,18,20,7087
1227,1,50,1,90027
1228,1,25,1,94720
1229,0,25,4,48219
1230,1,25,11,95125
1231,1,25,12,60515
1232,0,18,4,43235
1233,0,45,20,94519
1234,1,18,4,91006
1235,0,25,7,94043
1236,0,25,1,48316
1237,1,18,4,32720
1238,0,35,20,11215
1239,0,25,20,50111
1240,0,18,14,2144
1241,1,1,10,11803
1242,0,35,0,10014
1243,1,35,15,92627
1244,1,25,4,22030
1245,1,25,17,80461
1246,1,18,4,98225
